Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
LP000018,43900,8500,Employed,29,Married,1,600,2,0.318,74500,280800,234000,180,Debt Consolidation,Urban,Graduate,Female,Private Sector,N
LP000019,21100,7300,Employed,46,Married,2,681,1,0.233,14100,120000,100000,360,Business,Rural,Graduate,Male,PSU,Y
LP000020,15600,8200,Self-Employed,24,Single,2,562,1,0.299,31700,0,69000,180,Home Purchase,Semiurban,Postgraduate,Female,Private Sector,N
LP000021,87500,20600,Employed,37,Married,0,538,3,0.167,8700,433200,361000,120,Home Purchase,Semiurban,Postgraduate,Male,Private Sector,N
LP000022,31700,23300,Employed,36,Single,1,709,2,0.207,27900,0,127000,240,Personal,Rural,Graduate,Male,Government,Y
LP000023,37800,0,Employed,35,Divorced,2,649,1,0.417,30400,105600,88000,240,Education,Rural,Postgraduate,Male,Private Sector,N
LP000024,15400,0,Employed,55,Married,1,696,0,0.407,18300,33600,28000,240,Home Purchase,Urban,Graduate,Male,Government,Y
LP000025,26200,0,Employed,25,Married,3,678,1,0.356,2300,57600,48000,360,Business,Urban,Doctorate,Male,Private Sector,Y
LP000026,38800,0,Business Owner,25,Single,1,601,1,0.148,13600,198000,99000,240,Home Purchase,Semiurban,High School,Female,Government,Y
LP000027,18200,40400,Employed,40,Married,0,676,0,0.284,40300,444000,222000,240,Home Purchase,Semiurban,Postgraduate,Female,Private Sector,Y
LP000028,45500,0,Employed,35,Married,0,581,0,0.198,19700,0,151000,120,Home Purchase,Semiurban,Postgraduate,Female,Private Sector,N
LP000029,25300,15800,Employed,38,Married,3,791,2,0.438,25200,111000,74000,360,Home Purchase,Rural,Postgraduate,Male,Self-Employed,Y
LP000030,30500,0,Self-Employed,22,Married,0,571,0,0.262,3200,0,124000,240,Business,Urban,Postgraduate,Female,Self-Employed,N
LP000031,25300,0,Employed,49,Single,2,664,1,0.211,8300,168000,84000,240,Home Improvement,Semiurban,Postgraduate,Male,PSU,Y
LP000032,110300,12600,Self-Employed,33,Married,2,596,0,0.323,18400,431200,539000,360,Personal,Urban,High School,Male,MNC,Y
LP000033,36000,16200,Self-Employed,24,Married,0,725,0,0.256,22400,146400,183000,240,Home Improvement,Rural,Postgraduate,Female,MNC,Y
LP000034,19300,11000,Business Owner,62,Married,0,653,0,0.468,38400,0,61000,240,Debt Consolidation,Rural,Postgraduate,Male,Government,N
LP000035,59500,16900,Employed,30,Married,2,638,0,0.247,12700,0,223000,240,Home Improvement,Semiurban,High School,Male,Private Sector,N
LP000036,17500,18700,Employed,51,Married,0,748,2,0.18,23000,150000,125000,360,Personal,Urban,Postgraduate,Male,Private Sector,Y
LP000037,41200,0,Business Owner,61,Single,2,682,2,0.105,15400,130000,65000,360,Home Improvement,Rural,Postgraduate,Female,Private Sector,Y
LP000038,11200,13000,Unemployed,28,Married,1,721,0,0.317,7300,44400,37000,180,Business,Semiurban,Graduate,Male,Self-Employed,Y
LP000039,16400,19600,Business Owner,23,Single,1,601,1,0.264,2200,81600,68000,180,Education,Urban,Graduate,Female,Private Sector,Y
LP000040,40900,22500,Employed,29,Single,2,567,1,0.177,17800,214500,143000,180,Home Purchase,Rural,Graduate,Female,Self-Employed,N
LP000041,56600,0,Employed,50,Married,0,688,2,0.439,17600,126400,158000,360,Home Improvement,Rural,Graduate,Female,Government,N
LP000042,40200,36500,Employed,31,Married,1,654,2,0.387,8900,0,227000,360,Business,Semiurban,Graduate,Female,MNC,N
LP000043,33900,0,Self-Employed,55,Married,0,730,1,0.317,4500,0,65000,240,Personal,Semiurban,Doctorate,Male,Private Sector,Y
LP000044,30300,0,Employed,57,Married,0,673,1,0.456,24800,85600,107000,180,Home Purchase,Urban,Postgraduate,Male,Private Sector,Y
LP000045,15000,0,Employed,62,Single,1,696,2,0.386,12500,0,49000,360,Debt Consolidation,Semiurban,Postgraduate,Male,PSU,Y
LP000046,23600,20300,Business Owner,33,Single,2,550,0,0.238,19100,0,105000,360,Home Improvement,Semiurban,Graduate,Male,Private Sector,N
LP000047,27500,29000,Employed,56,Married,0,831,1,0.216,82200,0,87000,360,Home Purchase,Urban,High School,Female,Private Sector,Y
LP000048,68500,20800,Business Owner,33,Married,1,666,3,0.402,2700,0,155000,360,Home Improvement,Urban,Postgraduate,Male,Private Sector,N
LP000049,44600,13300,Employed,32,Single,2,735,2,0.36,9400,310000,155000,360,Home Purchase,Urban,Postgraduate,Male,Private Sector,Y
LP000050,12600,0,Employed,57,Divorced,0,613,1,0.337,11500,0,25000,120,Home Purchase,Urban,Graduate,Female,Private Sector,N
LP000051,44100,0,Employed,30,Married,0,704,1,0.235,50200,139200,116000,180,Debt Consolidation,Semiurban,Graduate,Female,Government,Y
LP000052,28800,0,Self-Employed,29,Married,3,575,0,0.381,3500,116400,97000,120,Debt Consolidation,Semiurban,Postgraduate,Female,Government,N
LP000053,24200,17700,Employed,27,Married,2,716,1,0.244,75000,158400,132000,360,Debt Consolidation,Semiurban,Postgraduate,Female,Government,Y
LP000054,52400,0,Employed,22,Divorced,1,651,1,0.31,16200,0,115000,120,Debt Consolidation,Urban,High School,Female,Private Sector,N
LP000055,67400,16900,Contract,43,Married,1,682,1,0.465,14100,170400,213000,240,Home Purchase,Semiurban,High School,Female,MNC,N
LP000056,63500,7000,Employed,59,Married,0,735,2,0.254,14000,0,236000,240,Home Purchase,Rural,Doctorate,Male,MNC,Y
LP000057,21900,0,Employed,60,Married,1,581,2,0.163,9100,71200,89000,240,Home Purchase,Semiurban,Postgraduate,Female,Private Sector,N
LP000058,30200,18900,Employed,59,Married,1,625,0,0.215,32200,0,185000,360,Home Purchase,Rural,Doctorate,Male,Private Sector,N
LP000059,44300,19500,Employed,41,Married,1,716,1,0.419,6800,242400,202000,180,Debt Consolidation,Semiurban,High School,Male,Private Sector,N
LP000060,65200,10800,Self-Employed,43,Divorced,0,847,1,0.345,24900,236400,197000,240,Business,Semiurban,Graduate,Male,MNC,Y
LP000061,27200,34000,Employed,49,Married,0,668,1,0.307,10900,190800,159000,360,Home Purchase,Urban,Graduate,Female,MNC,N
LP000062,32500,0,Employed,34,Married,0,727,0,0.269,8800,160800,134000,120,Home Purchase,Semiurban,Graduate,Female,Self-Employed,Y
LP000063,18700,0,Employed,46,Married,3,671,1,0.369,118300,24000,30000,360,Home Improvement,Rural,Graduate,Male,Private Sector,Y
LP000064,17700,22300,Self-Employed,25,Married,1,835,2,0.235,26000,268500,179000,360,Home Purchase,Rural,Graduate,Male,Government,Y
LP000065,59100,13100,Employed,51,Married,1,540,1,0.351,19600,0,252000,360,Personal,Rural,Graduate,Female,Private Sector,N
LP000066,81900,0,Employed,45,Married,0,687,3,0.247,38000,348000,290000,360,Home Improvement,Urban,Postgraduate,Female,Private Sector,Y
LP000067,34800,9900,Employed,51,Married,0,549,4,0.23,3900,108000,72000,240,Home Purchase,Semiurban,Graduate,Male,Government,Y
LP000068,66300,28600,Employed,40,Married,2,479,0,0.256,43300,378000,315000,240,Home Purchase,Semiurban,Graduate,Male,Private Sector,N
LP000069,45100,29700,Employed,64,Married,1,703,0,0.282,2100,176800,221000,120,Debt Consolidation,Semiurban,Postgraduate,Female,MNC,Y
LP000070,24700,0,Employed,37,Married,1,691,3,0.315,8300,54000,45000,180,Home Purchase,Urban,High School,Male,Government,Y
LP000071,45100,36200,Business Owner,22,Divorced,0,657,3,0.344,10100,0,190000,120,Home Purchase,Rural,Doctorate,Female,MNC,N
LP000072,91400,15900,Employed,45,Divorced,2,671,0,0.05,23800,0,448000,240,Home Purchase,Rural,Postgraduate,Male,Private Sector,Y
LP000073,35500,0,Contract,33,Married,0,850,0,0.239,22500,0,112000,360,Business,Semiurban,Graduate,Male,Self-Employed,Y
LP000074,92900,0,Contract,59,Married,0,659,0,0.281,12800,0,255000,240,Debt Consolidation,Urban,Graduate,Male,PSU,N
LP000075,7500,16900,Employed,48,Single,1,720,4,0.471,15900,50400,42000,240,Home Purchase,Urban,Graduate,Male,Self-Employed,Y
LP000076,59500,0,Employed,62,Married,0,628,0,0.212,6400,325500,217000,240,Home Improvement,Semiurban,Graduate,Male,MNC,Y
LP000077,38300,26800,Employed,26,Single,0,703,1,0.336,4700,0,235000,240,Debt Consolidation,Urban,Graduate,Male,MNC,Y
LP000078,30400,7500,Self-Employed,23,Divorced,1,660,2,0.47,26300,254000,127000,360,Debt Consolidation,Rural,Doctorate,Female,Government,N
LP000079,38400,0,Employed,55,Married,2,647,0,0.189,25100,232000,116000,180,Home Purchase,Semiurban,Graduate,Male,Private Sector,N
LP000080,11000,7900,Employed,38,Married,2,825,1,0.359,65300,106000,53000,360,Debt Consolidation,Semiurban,Graduate,Female,MNC,Y
LP000081,31800,0,Employed,31,Divorced,1,774,0,0.24,9200,156000,104000,240,Personal,Semiurban,Graduate,Male,MNC,Y
LP000082,45000,31700,Business Owner,40,Married,0,690,2,0.27,26700,135200,169000,120,Home Purchase,Urban,Postgraduate,Female,PSU,Y
LP000083,88100,0,Self-Employed,25,Married,0,495,0,0.24,8800,0,381000,240,Home Purchase,Rural,Graduate,Male,Government,N
LP000084,26600,14700,Employed,39,Married,3,651,1,0.247,37600,162000,135000,360,Home Purchase,Semiurban,Graduate,Male,Private Sector,Y
LP000085,22400,0,Self-Employed,42,Married,1,850,1,0.592,42900,66000,55000,120,Home Purchase,Rural,Graduate,Male,MNC,Y
LP000086,26900,0,Employed,39,Single,2,661,0,0.404,17400,115500,77000,120,Home Purchase,Semiurban,Graduate,Male,PSU,N
LP000087,62900,15500,Employed,36,Single,0,768,0,0.43,13000,614000,307000,180,Business,Semiurban,Graduate,Female,Private Sector,Y
LP000088,44200,0,Business Owner,44,Divorced,1,795,1,0.369,38200,105600,88000,360,Education,Urban,Graduate,Female,Private Sector,Y
LP000089,26400,34700,Employed,61,Married,0,697,0,0.159,26000,116000,145000,360,Home Purchase,Semiurban,Graduate,Female,Government,Y
LP000090,49400,0,Employed,24,Married,1,612,2,0.359,7900,0,175000,240,Debt Consolidation,Semiurban,Postgraduate,Male,Private Sector,N
LP000091,38500,13600,Employed,35,Married,3,485,2,0.427,3700,0,127000,240,Home Improvement,Semiurban,Postgraduate,Female,Private Sector,N
LP000092,64900,0,Business Owner,45,Married,3,734,1,0.235,13000,302400,252000,360,Debt Consolidation,Semiurban,Postgraduate,Female,Private Sector,Y
LP000093,23800,7800,Self-Employed,64,Married,1,614,1,0.417,46000,72000,60000,360,Debt Consolidation,Urban,Graduate,Female,Self-Employed,N
LP000094,29800,12100,Self-Employed,55,Divorced,1,694,1,0.39,38700,238500,159000,360,Home Purchase,Rural,Graduate,Female,Private Sector,Y
LP000095,28700,0,Self-Employed,34,Single,3,580,2,0.505,5300,58800,49000,360,Debt Consolidation,Rural,Graduate,Male,Private Sector,N
LP000096,15100,0,Employed,39,Married,2,658,1,0.278,5800,46000,23000,360,Debt Consolidation,Urban,Graduate,Male,MNC,Y
LP000097,43400,0,Employed,58,Married,0,682,0,0.21,42100,218400,182000,240,Business,Rural,Graduate,Male,PSU,Y
LP000098,42500,13400,Employed,56,Married,1,701,0,0.284,6300,271500,181000,360,Business,Urban,Graduate,Female,PSU,Y
LP000099,36400,0,Employed,27,Married,0,590,1,0.464,19700,0,93000,360,Home Purchase,Semiurban,Postgraduate,Male,Private Sector,N
LP000100,31500,20700,Employed,50,Single,1,775,1,0.137,10500,172500,115000,120,Home Purchase,Urban,High School,Female,PSU,Y
LP000101,15500,0,Contract,39,Married,1,632,1,0.113,51300,62400,52000,120,Education,Rural,Postgraduate,Male,Private Sector,Y
LP000102,28200,0,Employed,45,Divorced,1,546,0,0.329,6600,0,85000,360,Debt Consolidation,Urban,Graduate,Male,MNC,N
LP000103,29600,14200,Employed,36,Married,0,671,2,0.276,37300,0,196000,180,Business,Semiurban,Postgraduate,Male,Government,Y
LP000104,22400,17900,Employed,60,Married,0,682,0,0.321,17600,358000,179000,360,Home Purchase,Semiurban,Graduate,Male,Private Sector,Y
LP000105,33000,0,Employed,28,Single,1,692,0,0.415,18900,0,112000,240,Debt Consolidation,Urban,Postgraduate,Female,Government,N
LP000106,46300,0,Business Owner,38,Married,2,788,1,0.265,3600,157200,131000,180,Debt Consolidation,Semiurban,Graduate,Male,Private Sector,Y
LP000107,112600,0,Employed,48,Married,2,661,0,0.133,2500,268000,335000,120,Business,Urban,Graduate,Female,Self-Employed,N
LP000108,40300,17100,Employed,36,Married,0,670,1,0.524,12500,244800,204000,180,Home Purchase,Semiurban,High School,Male,Private Sector,Y
LP000109,42400,17300,Self-Employed,39,Married,3,591,1,0.22,16000,162000,108000,180,Home Purchase,Rural,Postgraduate,Male,Government,N
LP000110,34700,15000,Employed,62,Single,3,745,1,0.214,6700,99200,124000,240,Debt Consolidation,Rural,Graduate,Female,Private Sector,Y
LP000111,11500,15800,Employed,37,Married,0,694,1,0.43,6500,56400,47000,360,Business,Rural,Graduate,Male,Private Sector,Y
LP000112,35700,40100,Employed,33,Single,0,646,0,0.282,22500,260000,130000,360,Education,Urban,Graduate,Female,PSU,Y
LP000113,37700,23900,Employed,27,Married,2,527,0,0.314,18400,193500,129000,240,Personal,Urban,High School,Female,MNC,Y
LP000114,159200,15600,Unemployed,47,Married,2,795,2,0.368,15900,775500,517000,240,Personal,Semiurban,Postgraduate,Female,PSU,Y
LP000115,32400,0,Self-Employed,30,Single,3,581,1,0.428,24100,150000,125000,240,Home Purchase,Urban,Doctorate,Male,Private Sector,N
LP000116,43500,0,Employed,54,Married,2,632,1,0.287,5500,0,129000,240,Home Purchase,Rural,Graduate,Male,Private Sector,Y
LP000117,35600,0,Business Owner,56,Married,1,708,0,0.472,11900,106800,89000,240,Home Purchase,Urban,Postgraduate,Female,Government,Y
LP000118,18000,0,Employed,45,Married,1,584,1,0.106,48600,37200,31000,120,Home Purchase,Rural,Postgraduate,Female,Government,Y
LP000119,72100,17100,Employed,26,Married,0,560,1,0.396,13200,0,281000,120,Business,Urban,Graduate,Female,Private Sector,N
LP000120,57000,22600,Employed,44,Married,0,510,1,0.236,12600,147200,184000,120,Education,Rural,Graduate,Male,MNC,N
LP000121,58400,0,Employed,38,Married,1,737,2,0.457,103800,0,195000,180,Home Purchase,Urban,Postgraduate,Male,Private Sector,N
LP000122,21000,0,Employed,43,Married,1,636,0,0.334,4600,111600,93000,360,Home Improvement,Urban,Postgraduate,Female,Private Sector,Y
LP000123,84300,9900,Self-Employed,26,Married,1,850,0,0.253,35800,259500,173000,180,Education,Semiurban,Postgraduate,Female,Private Sector,Y
LP000124,15700,19400,Business Owner,49,Divorced,2,600,2,0.386,50600,0,75000,360,Debt Consolidation,Urban,Postgraduate,Male,Government,N
LP000125,51600,0,Employed,45,Married,0,606,3,0.409,10400,181200,151000,360,Home Purchase,Semiurban,Postgraduate,Male,MNC,N
LP000126,135200,55000,Employed,37,Single,1,634,0,0.384,28100,1676000,838000,360,Debt Consolidation,Semiurban,Postgraduate,Female,Government,N
LP000127,20000,0,Employed,44,Married,0,699,1,0.217,7100,0,76000,360,Home Purchase,Urban,Graduate,Male,Government,Y
LP000128,25900,0,Employed,31,Married,1,642,0,0.272,8300,130800,109000,180,Debt Consolidation,Rural,Graduate,Male,Private Sector,Y
LP000129,38600,7300,Employed,46,Single,2,728,0,0.32,22100,230000,115000,240,Debt Consolidation,Semiurban,Postgraduate,Male,Self-Employed,Y
LP000130,26800,13700,Employed,54,Married,2,601,0,0.316,25300,362000,181000,180,Home Purchase,Semiurban,High School,Male,Self-Employed,N
LP000131,14300,0,Business Owner,48,Single,3,569,0,0.395,31100,0,26000,360,Personal,Semiurban,Graduate,Female,MNC,N
LP000132,37800,13200,Employed,23,Married,0,536,2,0.119,41900,0,85000,360,Debt Consolidation,Semiurban,Graduate,Male,Private Sector,N
LP000133,19200,16600,Employed,31,Married,1,502,1,0.353,10600,0,146000,360,Debt Consolidation,Urban,Graduate,Male,Government,N
LP000134,48300,14200,Employed,58,Married,0,638,0,0.291,36900,321600,268000,240,Personal,Urban,Graduate,Male,Government,Y
LP000135,20900,6700,Employed,34,Married,1,655,0,0.236,11100,58800,49000,360,Home Purchase,Semiurban,Graduate,Male,PSU,N
LP000136,92000,26200,Employed,46,Single,2,629,2,0.246,28800,261600,218000,120,Home Purchase,Semiurban,Postgraduate,Female,PSU,N
LP000137,22700,10500,Self-Employed,41,Married,2,779,0,0.299,20500,42400,53000,120,Business,Urban,Graduate,Male,Self-Employed,Y
LP000138,29900,20300,Employed,59,Divorced,2,778,1,0.05,24700,0,91000,360,Home Purchase,Semiurban,Postgraduate,Male,Private Sector,Y
LP000139,59200,0,Self-Employed,50,Divorced,0,653,0,0.25,20400,151200,126000,240,Business,Semiurban,Postgraduate,Male,PSU,Y
LP000140,17400,0,Employed,28,Married,2,536,1,0.232,3300,92400,77000,360,Home Purchase,Urban,High School,Male,Government,N
LP000141,41600,0,Employed,40,Married,0,634,0,0.373,5700,175200,146000,120,Home Purchase,Urban,Graduate,Male,MNC,N
LP000142,79600,15600,Employed,52,Single,2,632,0,0.239,15300,438000,365000,360,Debt Consolidation,Semiurban,Postgraduate,Male,Private Sector,Y
LP000143,13800,0,Business Owner,42,Divorced,0,627,0,0.298,3600,42400,53000,240,Home Purchase,Urban,Graduate,Female,Private Sector,N
LP000144,40600,48000,Employed,27,Married,0,624,0,0.474,27000,220000,275000,360,Business,Urban,Graduate,Male,Government,N
LP000145,42400,9800,Self-Employed,29,Married,1,627,1,0.419,28000,0,203000,360,Home Improvement,Urban,Postgraduate,Female,Private Sector,N
LP000146,58100,0,Employed,21,Married,3,649,1,0.41,18800,152800,191000,360,Education,Rural,Postgraduate,Male,Private Sector,N
LP000147,17300,14300,Self-Employed,49,Single,0,629,0,0.27,5700,0,77000,180,Business,Semiurban,Graduate,Male,Self-Employed,N
LP000148,16400,0,Employed,28,Married,0,696,0,0.374,46700,41600,52000,360,Home Purchase,Urban,High School,Male,Private Sector,Y
LP000149,49700,67700,Self-Employed,24,Single,2,708,1,0.297,80400,0,364000,180,Business,Urban,Postgraduate,Female,Private Sector,Y
LP000150,43400,0,Employed,55,Married,0,607,1,0.3,15200,0,172000,120,Home Improvement,Semiurban,Postgraduate,Male,Private Sector,N
LP000151,42200,20500,Contract,23,Married,0,781,3,0.361,26200,334800,279000,240,Home Improvement,Semiurban,Postgraduate,Male,Private Sector,Y
LP000152,44700,22800,Employed,60,Married,1,601,1,0.26,15700,147200,184000,360,Business,Rural,Graduate,Male,PSU,N
LP000153,24100,31000,Employed,27,Married,0,550,1,0.469,18700,250800,209000,240,Debt Consolidation,Rural,Postgraduate,Male,Private Sector,N
LP000154,41700,18900,Employed,47,Married,3,710,1,0.304,14400,130800,109000,360,Debt Consolidation,Semiurban,Graduate,Female,Private Sector,Y
LP000155,43300,21000,Business Owner,21,Married,2,614,3,0.382,13300,295200,246000,360,Home Improvement,Urban,High School,Male,Self-Employed,N
LP000156,23700,14800,Employed,47,Married,1,705,2,0.466,32400,202000,101000,180,Home Purchase,Rural,Graduate,Female,Self-Employed,Y
LP000157,111200,20600,Self-Employed,36,Married,3,487,0,0.423,70800,0,213000,360,Home Purchase,Rural,Graduate,Female,Private Sector,N
LP000158,48300,15200,Employed,58,Married,1,791,0,0.179,5700,196800,164000,120,Home Improvement,Semiurban,Postgraduate,Male,MNC,Y
LP000159,17800,0,Employed,27,Divorced,0,733,0,0.364,15000,118000,59000,360,Home Purchase,Semiurban,Graduate,Male,MNC,N
LP000160,53800,15000,Employed,64,Married,0,559,1,0.405,4800,192000,128000,240,Home Purchase,Urban,Graduate,Female,MNC,N
LP000161,20200,21800,Contract,43,Married,1,561,2,0.409,44600,0,179000,240,Home Purchase,Urban,Graduate,Male,Government,N
LP000162,58200,17800,Self-Employed,61,Married,0,813,1,0.209,11300,105600,132000,240,Home Improvement,Semiurban,High School,Male,PSU,Y
LP000163,72800,0,Contract,31,Divorced,3,621,0,0.254,4400,0,312000,180,Home Purchase,Rural,Graduate,Female,Private Sector,N
LP000164,22200,17600,Employed,62,Married,2,613,2,0.419,22700,172800,144000,240,Business,Semiurban,Graduate,Female,Private Sector,Y
LP000165,64700,0,Self-Employed,53,Single,0,498,2,0.244,44800,193200,161000,180,Home Purchase,Rural,Graduate,Female,Private Sector,Y
LP000166,46500,33900,Self-Employed,56,Single,1,651,0,0.29,24600,172000,215000,180,Debt Consolidation,Urban,Graduate,Female,Private Sector,N
LP000167,59500,0,Employed,57,Married,2,661,1,0.478,17300,265200,221000,180,Debt Consolidation,Urban,Graduate,Male,Self-Employed,N
LP000168,113300,13000,Business Owner,61,Married,3,737,1,0.315,22800,500400,417000,240,Home Improvement,Semiurban,Postgraduate,Male,Government,Y
LP000169,31300,13400,Contract,37,Single,2,568,2,0.247,39200,188400,157000,360,Home Purchase,Urban,Graduate,Male,Private Sector,Y
LP000170,23100,0,Business Owner,55,Married,1,558,2,0.232,6200,93000,62000,240,Personal,Semiurban,Graduate,Female,Private Sector,N
LP000171,21300,6200,Self-Employed,25,Married,2,716,1,0.353,14600,121500,81000,360,Education,Urban,Graduate,Female,Private Sector,Y
LP000172,22300,0,Employed,52,Single,1,760,1,0.187,11800,0,100000,360,Business,Rural,Graduate,Male,PSU,Y
LP000173,34700,30600,Employed,23,Married,1,554,2,0.295,4800,168000,140000,360,Education,Rural,Graduate,Male,Government,Y
LP000174,44600,20200,Contract,55,Single,0,766,1,0.353,13100,0,178000,360,Debt Consolidation,Semiurban,Postgraduate,Male,Government,Y
LP000175,42900,17500,Employed,34,Married,0,683,0,0.45,36900,171600,143000,240,Debt Consolidation,Urban,Graduate,Female,MNC,Y
LP000176,59700,20800,Self-Employed,51,Single,1,767,2,0.387,26900,612000,306000,360,Home Improvement,Semiurban,Graduate,Male,MNC,Y
LP000177,36600,23400,Self-Employed,51,Married,0,674,0,0.249,25100,342000,228000,120,Home Improvement,Rural,Postgraduate,Male,Government,Y
LP000178,86900,0,Self-Employed,37,Married,0,478,1,0.438,12000,248400,207000,360,Education,Semiurban,Graduate,Female,Private Sector,N
LP000179,31000,0,Unemployed,44,Married,2,667,2,0.29,22600,43200,54000,360,Home Improvement,Urban,Postgraduate,Female,Self-Employed,N
LP000180,185700,18900,Employed,43,Divorced,0,764,2,0.196,9000,0,314000,180,Personal,Urban,Graduate,Male,MNC,Y
LP000181,52900,16300,Employed,38,Married,1,608,1,0.303,10600,231600,193000,360,Home Purchase,Urban,Graduate,Female,MNC,N
LP000182,21700,16700,Employed,34,Married,1,648,0,0.464,16800,0,105000,120,Business,Urban,Postgraduate,Male,PSU,N
LP000183,19100,16400,Employed,35,Married,3,665,1,0.337,18500,190800,159000,180,Home Improvement,Rural,Graduate,Male,MNC,Y
LP000184,48500,0,Employed,35,Married,1,448,0,0.321,12900,0,141000,120,Home Improvement,Rural,High School,Male,MNC,N
LP000185,31800,24300,Employed,26,Married,0,813,0,0.484,16200,101600,127000,360,Home Purchase,Urban,Postgraduate,Female,PSU,Y
LP000186,55700,0,Business Owner,47,Married,1,607,2,0.177,10000,0,232000,360,Business,Urban,Postgraduate,Female,Private Sector,N
LP000187,48200,25000,Contract,35,Married,2,720,0,0.191,200500,436000,218000,360,Education,Urban,High School,Male,Government,Y
LP000188,34800,0,Employed,56,Married,3,673,1,0.158,31000,138000,115000,120,Home Purchase,Rural,Postgraduate,Female,Government,Y
LP000189,21800,0,Employed,28,Married,1,780,1,0.357,24200,31200,39000,240,Home Improvement,Semiurban,Postgraduate,Male,Private Sector,Y
LP000190,14600,0,Contract,35,Married,0,712,4,0.337,13200,0,39000,360,Home Purchase,Semiurban,Postgraduate,Female,Self-Employed,Y
LP000191,27800,0,Employed,23,Single,3,661,1,0.474,10300,144000,120000,180,Personal,Semiurban,Graduate,Female,MNC,N
LP000192,60700,29000,Employed,33,Married,0,608,0,0.344,12200,0,293000,360,Debt Consolidation,Semiurban,Graduate,Male,MNC,N
LP000193,41300,0,Employed,61,Married,1,743,0,0.28,20900,126000,105000,120,Home Purchase,Urban,Graduate,Male,PSU,Y
LP000194,17200,0,Employed,54,Married,1,530,1,0.32,2600,87000,58000,180,Home Purchase,Urban,Graduate,Female,Private Sector,N
LP000195,40300,0,Employed,44,Divorced,0,731,1,0.332,4600,205200,171000,240,Home Improvement,Semiurban,Postgraduate,Male,MNC,Y
LP000196,45800,0,Contract,60,Divorced,0,592,1,0.153,7900,127200,106000,360,Home Purchase,Semiurban,Graduate,Female,Government,N
LP000197,21400,0,Employed,52,Single,0,780,1,0.591,20500,78000,65000,180,Home Improvement,Urban,Graduate,Male,Private Sector,Y
LP000198,39800,0,Employed,52,Married,2,692,0,0.372,12700,348000,174000,180,Education,Urban,Postgraduate,Female,Private Sector,Y
LP000199,37600,29000,Employed,50,Married,3,731,1,0.341,53100,268000,134000,180,Business,Urban,Graduate,Male,Self-Employed,Y
LP000200,18300,23300,Employed,33,Married,0,686,1,0.382,4700,182400,152000,180,Home Purchase,Semiurban,Graduate,Male,Government,Y
